1719,6,6,Cooking - All Facilities,1,1
1720,6,6,Cooking - All Facilities,1,1
1721,6,6,Cooking - All Facilities,1,1
1722,6,6,Cooking - All Facilities,1,1
1723,6,6,Cooking - All Facilities,1,1
1724,6,6,Cooking - All Facilities,1,1
1725,4,4,Non-Cook - NFA,5,1
1726,6,6,Cooking - All Facilities,1,1
1727,6,6,Cooking - All Facilities,1,1
1728,6,6,Cooking - All Facilities,1,1
1729,6,6,Cooking - All Facilities,1,1
1730,6,6,Cooking - All Facilities,1,1
1731,6,6,Cooking - All Facilities,1,1
1732,4,4,Non-Cook - NFA,5,1
1732,6,6,Cooking - All Facilities,1,1
1733,6,6,Cooking - All Facilities,1,1
1734,6,6,Cooking - All Facilities,1,1
1735,6,6,Cooking - All Facilities,1,1
1736,6,6,Cooking - All Facilities,1,1
1737,6,6,Cooking - All Facilities,1,1
1738,6,6,Cooking - All Facilities,1,1
1739,6,6,Cooking - All Facilities,1,1
1740,6,6,Cooking - All Facilities,1,1
1741,6,6,Cooking - All Facilities,1,1
1742,6,6,Cooking - All Facilities,1,1
1743,6,6,Cooking - All Facilities,1,1
1744,6,6,Cooking - All Facilities,1,1
1745,6,6,Cooking - All Facilities,1,1
1746,6,6,Cooking - All Facilities,1,1
1747,1,1,Cooking - Microwave,2,1
1747,2,2,Cooking - Kettle,3,1
1748,6,6,Cooking - All Facilities,1,1
1749,4,4,Non-Cook - NFA,5,1
1750,6,6,Cooking - All Facilities,1,1
1751,6,6,Cooking - All Facilities,1,1
1752,6,6,Cooking - All Facilities,1,1
1753,6,6,Cooking - All Facilities,1,1
1754,4,4,Non-Cook - NFA,5,1
1755,6,6,Cooking - All Facilities,1,1
1756,6,6,Cooking - All Facilities,1,1
1757,6,6,Cooking - All Facilities,1,1
1758,6,6,Cooking - All Facilities,1,1
1759,4,4,Non-Cook - NFA,5,1
1760,2,2,Cooking - Kettle,3,1
1761,6,6,Cooking - All Facilities,1,1
1762,6,6,Cooking - All Facilities,1,1
1763,6,6,Cooking - All Facilities,1,1
1764,6,6,Cooking - All Facilities,1,1
1765,6,6,Cooking - All Facilities,1,1
1766,6,6,Cooking - All Facilities,1,1
1767,6,6,Cooking - All Facilities,1,1
1768,6,6,Cooking - All Facilities,1,1
1769,6,6,Cooking - All Facilities,1,1
1770,6,6,Cooking - All Facilities,1,1
1771,6,6,Cooking - All Facilities,1,1
1772,2,2,Cooking - Kettle,3,1
1773,6,6,Cooking - All Facilities,1,1
1774,6,6,Cooking - All Facilities,1,1
1775,6,6,Cooking - All Facilities,1,1
1776,6,6,Cooking - All Facilities,1,1
1777,6,6,Cooking - All Facilities,1,1
1778,6,6,Cooking - All Facilities,1,1
1779,6,6,Cooking - All Facilities,1,1
1780,6,6,Cooking - All Facilities,1,1
1781,6,6,Cooking - All Facilities,1,1
1782,4,4,Non-Cook - NFA,5,1
1783,6,6,Cooking - All Facilities,1,1
1784,6,6,Cooking - All Facilities,1,1
1785,6,6,Cooking - All Facilities,1,1
1786,6,6,Cooking - All Facilities,1,1
1787,6,6,Cooking - All Facilities,1,1
1788,6,6,Cooking - All Facilities,1,1
1789,6,6,Cooking - All Facilities,1,1
1790,6,6,Cooking - All Facilities,1,1
1791,6,6,Cooking - All Facilities,1,1
1792,6,6,Cooking - All Facilities,1,1
1793,6,6,Cooking - All Facilities,1,1
1794,6,6,Cooking - All Facilities,1,1
1795,6,6,Cooking - All Facilities,1,1
1796,6,6,Cooking - All Facilities,1,1
1797,6,6,Cooking - All Facilities,1,1
1798,6,6,Cooking - All Facilities,1,1
1799,6,6,Cooking - All Facilities,1,1
1800,6,6,Cooking - All Facilities,1,1
1801,6,6,Cooking - All Facilities,1,1
1802,6,6,Cooking - All Facilities,1,1
1803,6,6,Cooking - All Facilities,1,1
1804,6,6,Cooking - All Facilities,1,1
1805,6,6,Cooking - All Facilities,1,1
1806,6,6,Cooking - All Facilities,1,1
1807,6,6,Cooking - All Facilities,1,1
1808,6,6,Cooking - All Facilities,1,1
1809,6,6,Cooking - All Facilities,1,1
1810,5,5,Non-Cook - Non-cook at home,6,1
1811,5,5,Non-Cook - Non-cook at home,6,1
1812,6,6,Cooking - All Facilities,1,1
1813,6,6,Cooking - All Facilities,1,1
1814,6,6,Cooking - All Facilities,1,1
1815,6,6,Cooking - All Facilities,1,1
1816,4,4,Non-Cook - NFA,5,1
1817,6,6,Cooking - All Facilities,1,1
1818,6,6,Cooking - All Facilities,1,1
1819,6,6,Cooking - All Facilities,1,1
1820,5,5,Non-Cook - Non-cook at home,6,1
1821,6,6,Cooking - All Facilities,1,1
1822,6,6,Cooking - All Facilities,1,1
1823,6,6,Cooking - All Facilities,1,1
1824,6,6,Cooking - All Facilities,1,1
1825,1,1,Cooking - Microwave,2,1
1825,6,6,Cooking - All Facilities,1,1
1826,6,6,Cooking - All Facilities,1,1
1827,6,6,Cooking - All Facilities,1,1
1828,6,6,Cooking - All Facilities,1,1
1829,6,6,Cooking - All Facilities,1,1
1830,6,6,Cooking - All Facilities,1,1
1831,1,1,Cooking - Microwave,2,1
1832,6,6,Cooking - All Facilities,1,1
1833,6,6,Cooking - All Facilities,1,1
1834,6,6,Cooking - All Facilities,1,1
1835,6,6,Cooking - All Facilities,1,1
1836,6,6,Cooking - All Facilities,1,1
1837,6,6,Cooking - All Facilities,1,1
1838,6,6,Cooking - All Facilities,1,1
1839,4,4,Non-Cook - NFA,5,1
1840,6,6,Cooking - All Facilities,1,1
1841,6,6,Cooking - All Facilities,1,1
1842,6,6,Cooking - All Facilities,1,1
1843,6,6,Cooking - All Facilities,1,1
1844,6,6,Cooking - All Facilities,1,1
1845,6,6,Cooking - All Facilities,1,1
1846,6,6,Cooking - All Facilities,1,1
1847,6,6,Cooking - All Facilities,1,1
1848,6,6,Cooking - All Facilities,1,1
1849,6,6,Cooking - All Facilities,1,1
1850,6,6,Cooking - All Facilities,1,1
1851,6,6,Cooking - All Facilities,1,1
1852,6,6,Cooking - All Facilities,1,1
1853,6,6,Cooking - All Facilities,1,1
1854,6,6,Cooking - All Facilities,1,1
1855,6,6,Cooking - All Facilities,1,1
1856,6,6,Cooking - All Facilities,1,1
1857,6,6,Cooking - All Facilities,1,1
1858,6,6,Cooking - All Facilities,1,1
1859,6,6,Cooking - All Facilities,1,1
1860,6,6,Cooking - All Facilities,1,1
1861,6,6,Cooking - All Facilities,1,1
1862,6,6,Cooking - All Facilities,1,1
1863,6,6,Cooking - All Facilities,1,1
1864,6,6,Cooking - All Facilities,1,1
1865,6,6,Cooking - All Facilities,1,1
1866,6,6,Cooking - All Facilities,1,1
1867,6,6,Cooking - All Facilities,1,1
1868,6,6,Cooking - All Facilities,1,1
1869,6,6,Cooking - All Facilities,1,1
1870,6,6,Cooking - All Facilities,1,1
1871,6,6,Cooking - All Facilities,1,1
1872,6,6,Cooking - All Facilities,1,1
1873,6,6,Cooking - All Facilities,1,1
1874,6,6,Cooking - All Facilities,1,1
1875,6,6,Cooking - All Facilities,1,1
1876,6,6,Cooking - All Facilities,1,1
1877,6,6,Cooking - All Facilities,1,1
1878,6,6,Cooking - All Facilities,1,1
1879,6,6,Cooking - All Facilities,1,1
1880,6,6,Cooking - All Facilities,1,1
1881,6,6,Cooking - All Facilities,1,1
1882,6,6,Cooking - All Facilities,1,1
1883,6,6,Cooking - All Facilities,1,1
1884,6,6,Cooking - All Facilities,1,1
1885,6,6,Cooking - All Facilities,1,1
1886,6,6,Cooking - All Facilities,1,1
1887,6,6,Cooking - All Facilities,1,1
1888,6,6,Cooking - All Facilities,1,1
1889,6,6,Cooking - All Facilities,1,1
